IPC maingroup,Label
A01B-001,농업/임업용 수작업 농기구/부속품
A01B-011,진동/굴취 쟁기
A01B-013,특수 목적 쟁기
A01B-015,쟁기 세부
A01B-017,특수 부가장치 포함 쟁기
A01B-019,회전구 불포함 써레
A01B-021,회전구 포함 써레
A01B-023,써레 세부
A01B-025,특수 부가장치 포함 써레
A01B-027,쇄토기
A01B-029,롤러
A01B-003,고정날 포함 쟁기
A01B-031,큰 써레
A01B-033,구동회전구 포함 경운용 작업기
A01B-035,토작업용 기타 농작업기
A01B-037,토양 팽연 장치
A01B-039,경토 작업용 농작업기
A01B-041,솎아내기용 농작업기
A01B-043,트랙터 견인 갈퀴
A01B-045,목초/잔디 손질용 농작업기
A01B-047,기구 토양 전위차 이용 토작업
A01B-049,복합작업기
A01B-005,구동 불가 회전구 포함 쟁기
A01B-051,농업용 기구/장치 탑재용 차대
A01B-059,동물/트랙터/농작업기 기구 연결 장치
A01B-061,농작업기 과부하 방지 장치
A01B-063,농작업기 승강/위치 조정 장치
A01B-067,트랙터 원동기 제어장치
A01B-069,농작업기 조향
A01B-007,쟁기/써레 형태 디스크 형상 토작업구
A01B-071,작업기 구동/동력취출 기구 장착
A01B-073,농작업기/농기구 운반 용이 장치
A01B-075,포장작업 사람 지지 운반구
A01B-076,기타 농업기계 부품/세부
A01B-077,흙 인양 처리 농작업기
A01B-079,토작업 방법
A01B-009,구동 회전구 포함 쟁기
A01C-001,파종/식부 전 종자/근 시험 처리 장치
A01C-011,이식기
A01C-013,식물주위 토양 진압 기계/장치
A01C-014,기타 식부 방법/장치
A01C-015,비료살포기
A01C-017,원심력이용 원반 시비기/파종기
A01C-019,비료살포기 살포부
A01C-021,시비방법
A01C-023,액상퇴비/암모니아 함유 기타 액체비료 살포장치
A01C-003,퇴비 처리
A01C-005,파종/식부 퇴비살포 고랑/구멍 형성/복토
A01C-007,파종
A01C-009,감자파종기
A01D-001,수확용 수동 예취기
A01D-101,잔디깎기
A01D-011,기타 수작업 용구
A01D-013,굴취기
A01D-015,반송장치 불포함 굴취기
A01D-017,체질/반송장치 포함 굴취기
A01D-019,원심력이용 원반/드럼/스피너 포함 굴취기
A01D-021,감자 상승 기구 포함 굴취기
A01D-023,관근부 절단기
A01D-025,사탕무 굴취기
A01D-027,관근부 절단/굴취기
A01D-029,땅콩 수확기
A01D-003,연마제 미사용 연마장치
A01D-031,기타 굴취수확기
A01D-033,굴취수확기 보조구
A01D-034,예취수확기
A01D-037,수확결속기
A01D-039,독립 결속기
A01D-041,탈곡장치 결합 작물수확기
A01D-042,타 용도 전환가능 예취기
A01D-043,타 작업 병행 예취기
