IPC subclass,Label
A01B,"농업 또는 임업에 있어서의 토작업; 농기구 또는 기구의 부품, 세부 또는 부속구 일반"
A01C,식부; 파종; 시비
A01D,수확; 예취
A01F,"탈곡(콤바인 A01D 41/00)；짚, 건초 또는 그와 유사한 것의 곤포；짚, 건초 또는 그와 유사한 것을 다발로 만들거나 묶기 위한 정치장치 또는 수동구；건초, 짚 또는 그와 유사하는 것의 절단；농업 수확물 또는 원예 수확물의 저장"
A01G,"원예; 채소, 화훼, 벼, 과수, 포도, 호프 또는 해초의 재배; 임업; 관수"
A01H,새로운 식물 또는 그것들을 얻기 위한 육종처리; 조직배양기술에 의한 식물의 증식
A01J,낙농 제품의 제조
A01K,축산; 조류 사육; 양봉; 어류 사육; 어업; 달리 분류되지 않는 동물의 사육 또는 번식; 새로운 동물
A01L,동물의 장제
A01M,"동물의 포획, 덫을 놓아 잡기 또는 몰기"
A01N,인간이나 동물의 신체 또는 식물 또는 그 일부의 보존
A01P,"화합물 또는 조성물의 살생물, 유해 생물 기피, 유해 생물 유인 또는 식물 생장 조절 활성"
A21B,제빵용 오븐(Oven); 제빵용 기계 또는 장치
A21C,가루반죽 제조와 가공용 기계 및 설비; 가루반죽으로 제 조된 빵류의 취급
A21D,제빵용 곡분 또는 반죽의 처리; 제빵; 빵류; 그것들의 저장
A22B,도살
A22C,"식육, 가금 또는 어류의 가공"
A23B,"식육, 어류, 난류, 과일, 채소, 식용종자의 보존"
A23C,유제품
A23D,식용유지
A23F,커피/차
A23G,코코아
A23J,식품용 단백질 조성물
A23K,동물을 위해 적합한 먹이
A23L,"A21D 또는 A23B로부터 A23J까지; 포함 되지 않는 식품, 식료품, 또는 비알콜성음료; 그 조제 또는 처리"
A23N,"달리 분류되지 않는 수확된 과일, 채소 또는 꽃의 구근을 대량으로 처리하기 위한 기계 또는 장치; 채소 또는 과일의 껍질을 벗기기 위한 것; 사료를 제조하기 위한 장치"
A23P,다른 단일의 서브클래스에는 완전히 포함되지 않는 식료품의 성형 또는 가공
A24B,흡연 또는 씹는담배의 제조 또는 처리
A24C,엽권담배 또는 지권담배의 제조장치
A24D,엽권담배; 지권담배; 담배필터; 엽권담배 또는 지권담배의 마우스피스; 담배필터 또는 마우스피스의 제조
A24F,흡연자 용구; 성냥 상자; 가상 흡연
A41B,셔츠; 속옷; 유아용 린네르(LINEN) 제품; 손수건
A41C,코르셋
A41D,겉옷; 보호복
A41F,의복의 고정구;거는 기구
A41G,조화; 가발; 마스크(가면); 깃털
A41H,"달리 분류되지 않는 의류를 만들기 위한 기구 또는 방법, 예. 의복을 만들기 위한 것, 바느질을 위한 것"
A42B,모자
A42C,모자 제조
A43B,신발류 특징적 모습
A43C,신발용 조임구 또는 부속품
A43D,"기계, 도구 , 장치, 제조방법 또는 신발수선"
A44B,"단추, 핀, 버클, 슬라이드 조임구(Slide fastener) 또는 그와 유사한 것"
A44C,개인 장신구
A45B,보행용 지팡이
A45C,지갑；수화물；휴대
A45D,이미용 또는 면도기구; 매니큐어 또는 그 외의 화장
A45F,여행 또는 야영 설비；몸으로 메고 옮기는 등산용 륙색 또는 팩
A46B,브러시(brush)
A46D,브러시(brush)의 제법
A47B,테이블; 책상; 사무용 가구; 캐비넷; 장농; 가구의 일반적 세부
A47C,의자
A47D,아동용에 특히 적합한 가구
A47F,"상점, 창고, 술집, 요리집 또는 유사한 장소에서 쓰이는 특수한 가구, 비품 또는 부속품; 지불 카운터"
A47G,가정용구 또는 식탁용구
A47H,창문 또는 문의 부대설비
A47J,"주방 장비, 커피 분쇄기, 향신료 분쇄기, 음료를 만드는 장치"
A47K,달리 분류되지 않는 위생설비
A47L,가정의 세정 또는 청정
A61B,진단; 수술; 개인 식별
A61C,치과; 구강 또는 치과용 위생
A61D,"수의용 기구, 기계, 기구 또는 용법"
A61F,혈관에 이식할 수 있는 필터; 보철; 인체의 관상 구조를 개존 시키는 또는 붕괴를 방지하는 장치
A61G,"환자 또는 신체장애자에 특히 적합한 수송, 탈 것, 또는 설비；수술대 또는 의자；치과용 의자；장의 용구"
A61H,물리적인 치료 장치
A61J,의료 또는 제제 목적을 위해 특히 적합한 용기
A61K,"의약용, 치과용 또는 화장용 제제"
A61L,"재료 또는 물건을 살균하기 위한 방법 또는 장치 일반; 공기의 소독, 살균 또는 탈취; 붕대, 피복용품, 흡수성 패드 또는 수술용품의 화학적 사항; 붕대, 피복용품, 흡수성 패드, 또는 수술용 물품을 위한 재료"
A61M,인체 내부 또는 표면에 매체를 도입하기 위한 장치
A61N,전기치료; 자기치료; 방사선치료; 초음파치료
A61P,화합물 또는 의약품 제제의 특정한 치료효과
A61Q,화장품 또는 유사 화장품 제제의 특정한 용도
A62B,"A62B 인명구조용의 기구, 장치 또는 방법"
A62C,소방
A62D,소화를 위한 화학적 수단
A63B,"신체의 단련, 체조, 수영, 등반 또는 펜싱; 구기; 단련용구"
